Scheduled Offering ID,Description,Title,Group Instance ID,Domain,Minimum Registration,Maximum Registration,Registration Cut-off Date,Allow Self Registration,Item/Schedule Block,Active,Facility,Primary Location ID,Cancelled,Auto Fill Registration,Cancelled Date,Closed Date,Approval Process ID,Approval Required,Time Zone,Start Date/Time,End Date/Time,Status
41089,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,5/Feb/2019 08:00 AM Asia/Dubai,5/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
4026,Course Language : Arabic,Business Report Writing,,PUBLIC,10,25,,Yes,Business_(Soft_Specialized) B_S_007 (Rev 1 - 20/Apr/2018 11:32 PM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Jumierah,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,6/Feb/2019 08:00 AM Asia/Dubai,6/Feb/2019 02:00 PM Asia/Dubai,"21 of 25 enrolled, 0 waitlisted"
41149,,ISO 29993 L&D,,PUBLIC,,,,No,TECHNICAL T_129 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Rashidiya,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,6/Feb/2019 08:00 AM Asia/Dubai,7/Feb/2019 02:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
1078,Course Language : English,Engineering risk management,,PUBLIC,10,25,,Yes,TECHNICAL T_143 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Abu Hail,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,6/Feb/2019 08:00 AM Asia/Dubai,7/Feb/2019 02:00 PM Asia/Dubai,"Full, 0 waitlisted, 1 pending"
41090,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,6/Feb/2019 08:00 AM Asia/Dubai,6/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
41153,Meeting with Edaad Participants,,,PUBLIC,,,,No,Edaad Program Induction,Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Mirdif,No,No,,,,No,Asia/Dubai,6/Feb/2019 10:00 AM Asia/Dubai,6/Feb/2019 12:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
1167,Course Language - English,Time Management,,PUBLIC,10,25,,Yes,Business_(Soft_Specialized) B_B_053 (Rev 1 - 20/Apr/2018 11:32 PM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Mirdif,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,7/Feb/2019 08:00 AM Asia/Dubai,7/Feb/2019 02:00 PM Asia/Dubai,"20 of 25 enrolled, 0 waitlisted"
41091,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,7/Feb/2019 08:00 AM Asia/Dubai,7/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
4041,Course Language - English,PMP - Project Management Professional,,PUBLIC,10,25,,Yes,TECHNICAL B_S_063 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Mirdif,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,10/Feb/2019 08:00 AM Asia/Dubai,14/Feb/2019 02:00 PM Asia/Dubai,"19 of 25 enrolled, 0 waitlisted"
41136,,Anti Fraud in Official Documentations,,PUBLIC,,,,No,TECHNICAL T_071 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Rashidiya,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,10/Feb/2019 08:00 AM Asia/Dubai,11/Feb/2019 02:00 PM Asia/Dubai,"14 enrolled, 0 waitlisted"
1072,Course Language : English & Arabic,Design Thinking,,PUBLIC,10,25,,Yes,TECHNICAL T_170 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Barsha,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,10/Feb/2019 08:00 AM Asia/Dubai,11/Feb/2019 02:00 PM Asia/Dubai,"20 of 25 enrolled, 0 waitlisted, 1 pending"
41092,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,10/Feb/2019 08:00 AM Asia/Dubai,10/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
41093,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,11/Feb/2019 08:00 AM Asia/Dubai,11/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
41095,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,12/Feb/2019 08:00 AM Asia/Dubai,12/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
41069,,,,PUBLIC,,,,No,Technical Report Writing,Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Barsha,No,No,,,,No,Asia/Dubai,12/Feb/2019 08:00 AM Asia/Dubai,12/Feb/2019 03:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
41178,,Presentation Skills and Public Speaking,,PUBLIC,,,,No,Business_(Soft_Specialized) B_B_078 (Rev 1 - 28/May/2018 09:03 PM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Soufouh,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,13/Feb/2019 08:00 AM Asia/Dubai,14/Feb/2019 02:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
41156,,Knowledge Management,,PUBLIC,,,,No,Business_(Soft_Specialized) B_S_042 (Rev 1 - 20/Apr/2018 11:32 PM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Barsha,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,13/Feb/2019 08:00 AM Asia/Dubai,14/Feb/2019 02:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
41144,,Google Analytics Tool,,PUBLIC,,,,No,TECHNICAL B_S_030 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Rashidiya,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,13/Feb/2019 08:00 AM Asia/Dubai,14/Feb/2019 02:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
1002,Course Language - English ,Strategic Management and Planning,,PUBLIC,10,25,,Yes,TECHNICAL B_S_054 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Abu Hail,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,13/Feb/2019 08:00 AM Asia/Dubai,14/Feb/2019 02:00 PM Asia/Dubai,"22 of 25 enrolled, 0 waitlisted"
41097,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,13/Feb/2019 08:00 AM Asia/Dubai,13/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
41137,,Assertiveness Communication Skills,,PUBLIC,,,,No,Business_(Soft_Specialized) B_B_063 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Nad Al Shiba,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,14/Feb/2019 08:00 AM Asia/Dubai,14/Feb/2019 04:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
41098,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,14/Feb/2019 08:00 AM Asia/Dubai,14/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
41179,,Problem Solving and Decision Making,,PUBLIC,,,,No,Business_(Soft_Specialized) B_B_075 (Rev 1 - 28/May/2018 09:03 PM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Barsha,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,17/Feb/2019 08:00 AM Asia/Dubai,18/Feb/2019 02:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
1144,Course Language - English   Course Level - Advanced,The 7 Habits for Highly Effective People,,PUBLIC,10,25,,Yes,Business_(Soft_Specialized) B_S_085 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Abu Hail,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,17/Feb/2019 08:00 AM Asia/Dubai,18/Feb/2019 02:00 PM Asia/Dubai,"20 of 25 enrolled, 0 waitlisted"
1034,Course Language : English & Arabic,Advanced Road Safety Auditing,,PUBLIC,10,25,,Yes,TECHNICAL T_148 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Soufouh,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,17/Feb/2019 08:00 AM Asia/Dubai,19/Feb/2019 02:00 PM Asia/Dubai,"14 of 25 enrolled, 0 waitlisted"
41181,,Safety & Accident Prevention,,PUBLIC,,,,No,TECHNICAL T_152 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Awir,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,17/Feb/2019 08:00 AM Asia/Dubai,19/Feb/2019 02:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
1015,Course Language - English ,Urban mobility Planning,,PUBLIC,10,25,,Yes,TECHNICAL T_162 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Jumierah,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,17/Feb/2019 08:00 AM Asia/Dubai,19/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
1029,Course Language - English and Arabic,PMI - Agile Certified Practitioner (PMI-ACP),,PUBLIC,10,25,,Yes,TECHNICAL T_169 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Mirdif,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,17/Feb/2019 08:00 AM Asia/Dubai,21/Feb/2019 02:00 PM Asia/Dubai,"20 of 25 enrolled, 0 waitlisted"
41099,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,17/Feb/2019 08:00 AM Asia/Dubai,17/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
41134,,Administrative Contracts: Rules & Drafting Skills,,PUBLIC,,,,No,TECHNICAL T_172 (Rev 1 - 17/May/2018 02:26 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Umm Suqaim,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,18/Feb/2019 08:00 AM Asia/Dubai,21/Feb/2019 04:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
41100,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,18/Feb/2019 08:00 AM Asia/Dubai,18/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
41188,,Data Science,,PUBLIC,,,,No,TECHNICAL T_093 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Khwaneej,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,19/Feb/2019 08:00 AM Asia/Dubai,21/Feb/2019 02:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
41138,Course Language - English,"Budgeting: Planning, Forecasting, What –If Analysis & Reporting",,PUBLIC,,,,No,TECHNICAL T_137 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Rashidiya,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,19/Feb/2019 08:00 AM Asia/Dubai,21/Feb/2019 02:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
41101,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,19/Feb/2019 08:00 AM Asia/Dubai,19/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
1218,Course Language : Arabic,Dealing with Different people,,PUBLIC,10,25,,Yes,Business_(Soft_Specialized) B_B_017 (Rev 1 - 20/Apr/2018 11:32 PM Asia/Dubai),Yes,Headquarters (HQ),Al-Mamzar,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,20/Feb/2019 08:00 AM Asia/Dubai,21/Feb/2019 02:00 PM Asia/Dubai,"20 of 25 enrolled, 0 waitlisted"
1155,Course Language - English,The Power of Emotional Intelligence,,PUBLIC,10,25,,Yes,Business_(Soft_Specialized) B_B_020 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Soufouh,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,20/Feb/2019 08:00 AM Asia/Dubai,20/Feb/2019 02:00 PM Asia/Dubai,"22 of 25 enrolled, 0 waitlisted"
4049,Course Language - Arabic,Presentation Skills and Public Speaking,,PUBLIC,10,25,,Yes,Business_(Soft_Specialized) B_B_074 (Rev 1 - 28/May/2018 09:03 PM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Jumierah,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,20/Feb/2019 08:00 AM Asia/Dubai,21/Feb/2019 04:00 PM Asia/Dubai,"17 of 25 enrolled, 0 waitlisted"
41157,,Knowledge Management,,PUBLIC,,,,No,Business_(Soft_Specialized) B_S_042 (Rev 1 - 20/Apr/2018 11:32 PM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Abu Hail,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,20/Feb/2019 08:00 AM Asia/Dubai,21/Feb/2019 02:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
41102,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,20/Feb/2019 08:00 AM Asia/Dubai,20/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
4007,Course Language - Arabic,Make Things Happen,,PUBLIC,10,25,,Yes,Business_(Soft_Specialized) B_B_025 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Barsha,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,21/Feb/2019 08:00 AM Asia/Dubai,21/Feb/2019 02:00 PM Asia/Dubai,"18 of 25 enrolled, 0 waitlisted"
41103,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,21/Feb/2019 08:00 AM Asia/Dubai,21/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
1149,Course Language - English,The Leadership Challenge,,PUBLIC,10,25,,Yes,Business_(Soft_Specialized) B_B_031 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Rashidiya,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,24/Feb/2019 08:00 AM Asia/Dubai,26/Feb/2019 02:00 PM Asia/Dubai,"22 of 25 enrolled, 0 waitlisted"
41141,,Budget Analysis & Cost Control,,PUBLIC,,,,No,TECHNICAL B_S_004 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Awir,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,24/Feb/2019 08:00 AM Asia/Dubai,26/Feb/2019 02:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
41140,,Best Practice in internal auditing,,PUBLIC,,,,No,TECHNICAL T_136 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Soufouh,No,No,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,24/Feb/2019 08:00 AM Asia/Dubai,26/Feb/2019 04:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
1024,Course Language - English and Arabic ,Mobility as a Service,,PUBLIC,10,25,,Yes,TECHNICAL T_168 (Rev 1 - 13/May/2018 04:23 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Abu Hail,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,24/Feb/2019 08:00 AM Asia/Dubai,26/Feb/2019 02:00 PM Asia/Dubai,"9 of 25 enrolled, 0 waitlisted, 1 pending"
41104,,TAZEEZ for Inspectors,,PUBLIC,10,25,,Yes,TECHNICAL T_179 (Rev 1 - 27/Sep/2018 09:17 AM Asia/Dubai),Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Hatta M,No,Yes,,,2_Step_Supervisor_&_TTM,Yes,Asia/Dubai,24/Feb/2019 08:00 AM Asia/Dubai,25/Feb/2019 02:00 PM Asia/Dubai,"0 of 25 enrolled, 0 waitlisted"
41077,,,,PUBLIC,,,,No,SAFE Training,Yes,MARINA PLAZA Training Center (RTA Training Center - Marina),Al Barsha,No,No,,,,No,Asia/Dubai,24/Feb/2019 08:00 AM Asia/Dubai,25/Feb/2019 03:00 PM Asia/Dubai,"0 enrolled, 0 waitlisted"
